GeneNames	knockout	wt	log2fc	log2(Fold_change) normalized	z-score	p-value	q-value	q-value(Storey et al. 2003)	Signature(p-value < 0.001)
XOO2930	73	59	0.30718151	0.321416704	1.276231151	0.20187382	0.304367109	0.106962154	FALSE
XOO4712	180	207	-0.201633861	-0.187398667	-1.276151681	0.201901905	0.304295015	0.106962154	FALSE
XOO2791	108	91	0.247092862	0.261328057	1.275327091	0.202193493	0.304619959	0.107076375	FALSE
XOO0772	84	69	0.283792966	0.298028161	1.27455103	0.2024682	0.304919239	0.107181574	FALSE
XOO3920	285	258	0.143590854	0.157826048	1.27386898	0.202709853	0.305168533	0.107269203	FALSE
XOO0548	156	181	-0.214443668	-0.200208474	-1.272057622	0.203352647	0.306021307	0.10756896	FALSE
XOO3722	707	763	-0.109972842	-0.095737647	-1.271825241	0.203435219	0.306030691	0.107572259	FALSE
XOO2924	208	237	-0.188303531	-0.174068336	-1.271304506	0.20362034	0.306194277	0.107629761	FALSE
XOO4483	314	350	-0.156590363	-0.142355168	-1.2704464	0.203925664	0.306538428	0.107750732	FALSE
XOO4705	25	17	0.556393349	0.570628543	1.269887094	0.204124851	0.306722836	0.107815553	FALSE
XOO2338	169	195	-0.206450877	-0.192215683	-1.269385468	0.204303616	0.306876433	0.107869544	FALSE
XOO4952	3	7	-1.222392421	-1.208157227	-1.267627552	0.204930988	0.307703495	0.10812986	FALSE
XOO3171	312	284	0.135655099	0.149890294	1.267574018	0.204950115	0.307617002	0.10812986	FALSE
XOO4058	36	48	-0.415037499	-0.400802305	-1.266577681	0.205306337	0.308036342	0.10824351	FALSE
XOO0802	64	51	0.327574658	0.341809853	1.266306298	0.205403443	0.308066743	0.10824351	FALSE
XOO1285	238	269	-0.176644599	-0.162409405	-1.266258273	0.205420631	0.307977303	0.10824351	FALSE
XOO0069	1059	1129	-0.092342897	-0.078107702	-1.266112586	0.205472777	0.307940323	0.10824351	FALSE
XOO1832	83	101	-0.283172051	-0.268936857	-1.261301698	0.20720017	0.310413109	0.109112714	FALSE
XOO3319	50	64	-0.35614381	-0.341908616	-1.260416722	0.207519072	0.310774733	0.109239828	FALSE
XOO2898	86	71	0.276517635	0.29075283	1.259740543	0.207762975	0.311023811	0.109327381	FALSE
XOO0365	159	184	-0.210679001	-0.196443806	-1.259261136	0.207936026	0.311166677	0.109377599	FALSE
XOO1640	155	135	0.199308808	0.213544003	1.258855353	0.208082583	0.311269804	0.109393674	FALSE
XOO1564	226	256	-0.179821038	-0.165585843	-1.258746689	0.208121842	0.311212407	0.109393674	FALSE
XOO1367	632	594	0.089461627	0.103696822	1.258179106	0.208326989	0.31140302	0.109460676	FALSE
XOO2789	633	595	0.089315831	0.103551026	1.257435676	0.208595917	0.311688793	0.109513569	FALSE
